turn,player_move,player_result,bot_move,bot_result,player_board,bot_board
28,0 4,Ship destroyed,2 3,Miss,XM~M~~~MS~XM~~SSS~~~XM~M~~~~~MXMMMMMMMMMMMMXXMMXXM~~MMMMMMMM~~M~~~~SSS~~~~S~~~~~~~~~~~~~~S~~~~S~~S~S,M~~MXXM~~M~M~MMMM~M~~~M~~MM~~~~~~M~~M~~~MMM~MM~M~~MXM~~M~~~~MMMM~~M~~~~~~M~~~MMM~~~M~~~MXMM~~~~~~MMM
29,1 6,Miss,7 5,Miss,XM~M~~~MS~XM~~SSS~~~XM~M~~~~~MXMMMMMMMMMMMMXXMMXXM~~MMMMMMMM~~M~~~~SSS~~~~SM~~~~~~~~~~~~~S~~~~S~~S~S,M~~MXXM~~M~M~MMMM~M~~~M~~MM~~~~~~M~~M~~~MMM~MM~M~~MXM~~M~~~~MMMM~~M~~~~~~M~~~MMM~~~M~~~MXMM~~~~~~MMM
30,2 9,Hit,3 4,Miss,XM~M~~~MS~XM~~SSS~~~XM~M~~~~~MXMMMMMMMMMMMMXXMMXXM~~MMMMMMMM~~M~~~~SSS~~~~SM~~~~~~~~~~~~~S~~~~S~~S~S,M~~MXXM~~M~M~MMMM~M~~~M~~MM~~X~~~M~~M~~~MMM~MM~M~~MXM~~M~~~~MMMM~~M~~~~~~M~~~MMM~~~M~~~MXMM~~~~~~MMM
31,1 9,Miss,2 8,Miss,XM~M~~~MS~XM~~SSS~~~XM~M~~~~MMXMMMMMMMMMMMMXXMMXXM~~MMMMMMMM~~M~~~~SSS~~~~SM~~~~~~~~~~~~~S~~~~S~~S~S,M~~MXXM~~M~M~MMMM~MM~~M~~MM~~X~~~M~~M~~~MMM~MM~M~~MXM~~M~~~~MMMM~~M~~~~~~M~~~MMM~~~M~~~MXMM~~~~~~MMM
32,3 9,Hit,1 6,Hit,XM~M~~~MS~XM~~SSX~~~XM~M~~~~MMXMMMMMMMMMMMMXXMMXXM~~MMMMMMMM~~M~~~~SSS~~~~SM~~~~~~~~~~~~~S~~~~S~~S~S,M~~MXXM~~M~M~MMMM~MM~~M~~MM~~X~~~M~~M~~XMMM~MM~M~~MXM~~M~~~~MMMM~~M~~~~~~M~~~MMM~~~M~~~MXMM~~~~~~MMM
33,4 9,Hit,2 7,Miss,XM~M~~~MS~XM~~SSX~~~XM~M~~~MMMXMMMMMMMMMMMMXXMMXXM~~MMMMMMMM~~M~~~~SSS~~~~SM~~~~~~~~~~~~~S~~~~S~~S~S,M~~MXXM~~M~M~MMMM~MM~~M~~MM~~X~~~M~~M~~XMMM~MM~M~XMXM~~M~~~~MMMM~~M~~~~~~M~~~MMM~~~M~~~MXMM~~~~~~MMM
34,5 9,Ship destroyed,2 6,Miss,XM~M~~~MS~XM~~SSX~~~XM~M~~MMMMXMMMMMMMMMMMMXXMMXXM~~MMMMMMMM~~M~~~~SSS~~~~SM~~~~~~~~~~~~~S~~~~S~~S~S,M~~MXXM~~M~M~MMMM~MM~~M~~MM~MX~~~M~~M~MXMMM~MM~MMXMXM~~M~~MXMMMM~~M~MM~~~M~~~MMM~~~M~~~MXMM~~~~~~MMM
35,9 6,Miss,2 5,Miss,XM~M~~~MS~XM~~SSX~~~XM~M~MMMMMXMMMMMMMMMMMMXXMMXXM~~MMMMMMMM~~M~~~~SSS~~~~SM~~~~~~~~~~~~~S~~~~S~~S~S,M~~MXXM~~M~M~MMMM~MM~~M~~MM~MX~~~M~~M~MXMMM~MM~MMXMXM~~M~~MXMMMM~~M~MM~~~M~~~MMM~~~M~~~MXMM~~~~~MMMM
36,9 5,Miss,1 7,Miss,XM~M~~~MS~XM~~SSXM~~XM~M~MMMMMXMMMMMMMMMMMMXXMMXXM~~MMMMMMMM~~M~~~~SSS~~~~SM~~~~~~~~~~~~~S~~~~S~~S~S,M~~MXXM~~M~M~MMMM~MM~~M~~MM~MX~~~M~~M~MXMMM~MM~MMXMXM~~M~~MXMMMM~~M~MM~~~M~~~MMM~~~M~~~MXMM~~~~MMMMM
37,9 4,Miss,1 5,Hit,XM~M~~~MS~XM~~SXXM~~XM~M~MMMMMXMMMMMMMMMMMMXXMMXXM~~MMMMMMMM~~M~~~~SSS~~~~SM~~~~~~~~~~~~~S~~~~S~~S~S,M~~MXXM~~M~M~MMMM~MM~~M~~MM~MX~~~M~~M~MXMMM~MM~MMXMXM~~M~~MXMMMM~~M~MM~~~M~~~MMM~~~M~~~MXMM~~~MMMMMM
38,9 2,Hit,2 4,Miss,XM~M~~~MS~XM~~SXXM~~XM~MMMMMMMXMMMMMMMMMMMMXXMMXXM~~MMMMMMMM~~M~~~~SSS~~~~SM~~~~~~~~~~~~~S~~~~S~~S~S,M~~MXXM~~M~M~MMMM~MM~~M~~MM~MX~~~M~~M~MXMMM~MM~MMXMXM~~M~~MXMMMM~~M~MM~~~M~~~MMM~~~M~~~MXMM~X~MMMMMM
